id_sls,id_batch
1805130019002100,18050416
1805130019002200,18050417
1805130019002300,18050417
1805130019002400,18050417
1805130019002500,18050417
1805130019002600,18050417
1805130019002700,18050417
1805130019002800,18050417
1805130019002900,18050417
1805130019003000,18050417
1805130020000100,18050417
1805130020000200,18050417
1805130020000300,18050417
1805130020000400,18050417
1805130020000500,18050417
1805130020000600,18050417
1805130020000700,18050417
1805130020000800,18050417
1805130020000900,18050417
1805130020001000,18050417
1805130020001100,18050417
1805130020001200,18050417
1805130020001300,18050418
1805130020001400,18050418
1805130020001500,18050418
1805130020001600,18050418
1805130020001700,18050418
1805130020001800,18050418
1805130020001900,18050418
1805130020002000,18050418
1805130020002100,18050418
1805130020002200,18050418
1805130020002300,18050418
1805130020002400,18050418
1805130021000100,18050418
1805130021000200,18050418
1805130021000300,18050418
1805130021000400,18050418
1805130021000500,18050418
1805130021000600,18050418
1805130021000700,18050418
1805130021000800,18050418
1805130021000900,18050418
1805130021001000,18050418
1805130021100100,18050419
1805130021100200,18050419
1805130022000100,18050419
1805130022000200,18050419
1805130022000300,18050419
1805130022000400,18050419
1805130022000500,18050419
1805130022000600,18050419
1805130022000700,18050419
1805130022000800,18050419
1805130022000900,18050419
1805130022001000,18050419
1805130022001100,18050419
1805130022001200,18050419
1805130022001300,18050419
1805130022001400,18050419
1805130022001500,18050419
1805130022001600,18050419
1805130022001700,18050419
1805130022001800,18050419
1805130022001900,18050420
1805130022002000,18050420
1805130022002100,18050420
1805130022002200,18050420
1805130022002300,18050420
1805130022002400,18050420
1805130022002500,18050420
1805130022002600,18050420
1805130022002700,18050420
1805130022002800,18050420
1805130022002900,18050420
1805130022003000,18050420
1805130022003100,18050420
1805130022003200,18050420
1805130022003300,18050420
1805130022003400,18050420
1805130022003500,18050420
1805130022003600,18050420
1805130022003700,18050420
1805130022003800,18050421
1805130022003900,18050421
1805130022004000,18050421
1805130022004100,18050421
1805130022004200,18050421
1805130022004300,18050421
1805130022004400,18050421
1805130022004500,18050421
1805130022004600,18050421
1805130022004700,18050421
1805130022004800,18050421
1805130022004900,18050421
1805130022005000,18050421
1805130022005100,18050421
1805130022005200,18050421
1805130022005300,18050421
1805130022005400,18050421
1805130022005500,18050421
1805130022005600,18050422
1805130022005700,18050422
1805130022005800,18050422
1805130022005900,18050422
1805131001000100,18050423
1805131001000200,18050423
1805131001000300,18050423
1805131001000400,18050423
1805131001000500,18050423
1805131001000600,18050423
1805131001000700,18050423
1805131001000800,18050423
1805131001000900,18050423
1805131001001000,18050423
1805131001001100,18050423
1805131001001200,18050423
1805131001001300,18050423
1805131001001400,18050423
1805131001001500,18050423
1805131001001600,18050423
1805131001001700,18050423
1805131001001800,18050423
1805131001001900,18050423
1805131001002000,18050423
1805131001002100,18050423
1805131001002200,18050423
1805131001002300,18050423
1805131001002400,18050423
1805131001002500,18050424
1805131001002600,18050424
1805131001002700,18050424
1805131001100400,18050424
1805131002000100,18050424
1805131002000200,18050424
1805131002000300,18050424
1805131002000400,18050424
1805131002000500,18050424
1805131002000600,18050424
1805131002000700,18050424
1805131002000800,18050424
1805131002000900,18050424
1805131002001000,18050424
1805131002001100,18050424
1805131002001200,18050424
1805131002001300,18050424
1805131002001400,18050424
1805131002001500,18050425
1805131002001600,18050425
1805131002001700,18050425
1805131002001800,18050425
1805131002001900,18050425
1805131002002000,18050425
1805131002002100,18050425
1805131002002200,18050425
1805131002002300,18050425
1805131002002400,18050425
1805131002002500,18050425
1805131002002600,18050425
1805131002002700,18050425
1805131002002800,18050425
1805131002002900,18050425
1805131002003000,18050425
1805131002003100,18050425
1805131002003200,18050425
1805131002003300,18050426
1805131002003400,18050426
1805131002003500,18050426
1805131002003600,18050426
1805131002100100,18050426
1805131002100200,18050426
1805131002100300,18050426
1805131002100400,18050426
1805131002100500,18050426
1805131002100600,18050426
1805131002100700,18050426
1805131002100800,18050426
1805131003000100,18050426
1805131003000200,18050426
1805131003000300,18050426
1805131003000400,18050426
1805131003000500,18050426
1805131003000600,18050426
1805131003000700,18050426
1805131003000800,18050426
1805131003000900,18050426
1805131003001000,18050426
1805131003001100,18050426
1805131003001200,18050426
1805131003001300,18050426
1805131003001400,18050426
1805131003001500,18050426
1805131003001600,18050426
1805131003001700,18050427
1805131003001800,18050427
1805131003100100,18050427
1805131003100200,18050427
1805131003100300,18050427
1805131003100400,18050427
1805131003100500,18050427
1805131004000100,18050427
1805131004000200,18050427
1805131004000300,18050427
1805131004000400,18050427
1805131004000500,18050427
1805131004000600,18050427
1805131004000700,18050427
1805131004000800,18050427
1805131004000900,18050427
1805131004001000,18050427
1805131004001100,18050427
1805131004001200,18050427
1805131004001300,18050427
1805131004001400,18050427
1805131004001500,18050427
1805131004001600,18050427
1805131004001700,18050427
1805131004001800,18050427
1805131004001900,18050427
1805131004002000,18050427
1805131004002100,18050427
1805131004002200,18050428
1805131004002300,18050428
1805131004002400,18050428
1805131004002500,18050428
1805131004002600,18050428
1805131004002700,18050428
1805131004100100,18050428
1805131004100200,18050428
1805131004100300,18050428
1805131004100400,18050428
1805131005000100,18050428
1805131005000200,18050428
1805131005000300,18050428
1805131005000400,18050428
1805131005000500,18050428
1805131005000600,18050428
1805131005000700,18050428
1805131005000800,18050428
1805131005000900,18050428
1805131005001000,18050429
1805131005001100,18050429
1805131005001200,18050429
1805131005001300,18050429
1805131005001400,18050429
1805131005001500,18050429
1805131005001600,18050429
1805131005001700,18050429
1805131005001800,18050429
1805131005001900,18050429
1805131005002000,18050429
1805131005002100,18050429
1805131005002200,18050429
1805131005002300,18050429
1805131005002400,18050429
1805131005002500,18050429
1805131005002600,18050429
1805131005002700,18050429
1805131005002800,18050429
1805131005002900,18050429
1805131005003000,18050429
1805131005003100,18050430
1805131005003200,18050430
1805131005003300,18050430
1805131005003400,18050430
1805131005003500,18050430
1805131005003600,18050430
1805131005003700,18050430
1805131005003800,18050430
1805131005003900,18050430
1805131005100100,18050430
1805131005100200,18050430
1805131005100300,18050430
1805131005100400,18050430
1805131005100500,18050430
1805131005100600,18050430
1805131006000100,18050431
1805131006000200,18050431
1805131006000300,18050431
1805131006000400,18050431
1805131006000500,18050431
1805131006000600,18050431
1805131006000700,18050431
1805131006000800,18050431
1805131006000900,18050431
1805131007000300,18050431
1805131007000400,18050431
1805131007000500,18050431
1805131007000700,18050431
1805131007000800,18050431
1805131007000900,18050431
1805131007001000,18050431
1805131007001100,18050431
1805131007900100,18050431
1805131007000200,18050432
1805131007000600,18050432
1805131007001200,18050432
1805131007001300,18050432
1805131007001400,18050432
1805131007001500,18050432
1805131007001600,18050432
1805131007001700,18050432
1805131007001800,18050432
1805131007001900,18050432
1805131007002000,18050432
1805131007002100,18050432
1805131007002200,18050432
1805131007002300,18050432
1805131007002400,18050432
1805131007002500,18050432
1805131007002600,18050432
1805131007002700,18050432
1805131007002800,18050432
1805131007002900,18050432
1805131007003000,18050432
1805131007003100,18050432
1805131007003200,18050432
1805131007003300,18050432
1805131007003400,18050432
1805131007100100,18050432
1805131008000100,18050433
1805131008000200,18050433
1805131008000300,18050433
1805131008000400,18050433
1805131008000500,18050433
1805131008000600,18050433
1805131008000700,18050433
1805131008000800,18050433
1805131008000900,18050433
1805131008001000,18050433
1805131008001100,18050433
1805131008001200,18050433
1805131008001300,18050433
1805131008001400,18050433
1805131008001500,18050433
1805131008001600,18050433
1805131008001700,18050433
1805131008001800,18050433
1805131008001900,18050434
1805131008002000,18050434
1805131008002100,18050434
1805131008002200,18050434
1805131008002300,18050434
1805131008002400,18050434
1805131008002500,18050434
1805131008002600,18050434
1805131008002700,18050434
1805131008002800,18050434
1805131008002900,18050434
1805131008003000,18050434
1805131008003100,18050434
1805131008003200,18050434
1805131008100100,18050434
1805131008100200,18050434
1805131008100300,18050434
1805131008100400,18050434
1805131008100500,18050434
1805131009000100,18050435
1805131009000200,18050435
1805131009000300,18050435
1805131009000400,18050435
1805131009000500,18050435
1805131009000600,18050435
1805131009000700,18050435
1805131009000800,18050435
1805131009000900,18050435
1805131009001000,18050435
1805131009001100,18050435
1805131009001200,18050435
1805131009001300,18050435
1805131009001400,18050435
1805131009001500,18050435
1805131009001600,18050435
1805131009001700,18050435
1805131009001800,18050435
1805131009001900,18050435
1805131009002000,18050435
1805131009002100,18050435
1805131009002200,18050435
1805131009002300,18050435
1805131009002400,18050435
1805131009002500,18050435
